# mux-standby-9 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit's per-leg record has no byte counter (only tp, standby, retransmits, dup_bytes, ack_delay_ms), so exit_bytes is the local recv_delta of the same leg — the bytes the exit sent that arrived there
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs of ACTIVE groups only; standby legs are listed with their bytes and a "-" share
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	exit_tp	exit_standby	exit_retx	exit_ack_ms
6	mux-standby-9-t3	up	10000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	7534007	412908	75.1%	49.0%	b414796d	no	1	321.49
6	mux-standby-9-t3	up	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	2502052	429885	24.9%	51.0%	57c570d9	no	6	961.76
6	mux-standby-9-t3	up	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	66.934211	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	148	470431	-	-	dc5330cf	no	1	230.92
6	mux-standby-9-t3	up	10000000	fdab37dd	49178	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	181.152316	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	140	161779	-	-	7420f415	no	1	264.58
6	mux-standby-9-t3	up	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	282.903868	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	116	184689	-	-	3de424e0	no	1	507.3
6	mux-standby-9-t3	up	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	301.16552	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	116	194187	-	-	d0b47ec2	no	1	512.75
6	mux-standby-9-t3	up	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	116	69718	-	-	38288b5a	no	2	0
6	mux-standby-9-t3	up	10000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	143	210	-	-	000864b9	no	5	734.13
7	mux-standby-9-t1	down	50000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	62358	33730151	96.6%	64.5%	b414796d	no	1	267.36
7	mux-standby-9-t1	down	50000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	2169	18527259	3.4%	35.5%	57c570d9	no	6	268.23
7	mux-standby-9-t1	down	50000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	66.934211	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	357	471646	-	-	dc5330cf	no	1	265.89
7	mux-standby-9-t1	down	50000000	fdab37dd	49178	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	181.152316	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	352	162001	-	-	7420f415	no	1	286.75
7	mux-standby-9-t1	down	50000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	282.903868	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	291	184861	-	-	3de424e0	no	1	537.37
7	mux-standby-9-t1	down	50000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	325	69954	-	-	38288b5a	no	3	679.53
7	mux-standby-9-t1	down	50000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	345	308	-	-	000864b9	no	8	2728.69
8	mux-standby-9-t2	down	50000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	42025	28286173	95.1%	58.5%	b414796d	no	1	651.23
